batch	group	sample	library	fastq1	fastq2
batch_2	Samples	BPigRSA49002t0	LIB119268	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S2_R1_001.fastq.gz	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S2_R2_001.fastq.gz
batch_2	Samples	BPigRSA49002t0	LIB119268	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S3_R1_001.fastq.gz	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S3_R2_001.fastq.gz
batch_2	Samples	BPigRSA49002t1	LIB119268	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S2_R1_001.fastq.gz	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S2_R2_001.fastq.gz
batch_2	Samples	BPigRSA49002t1	LIB119268	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S3_R1_001.fastq.gz	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S3_R2_001.fastq.gz
batch_2	Samples	BPigRSA49002t2	LIB119268	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S2_R1_001.fastq.gz	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S2_R2_001.fastq.gz
batch_2	Samples	BPigRSA49002t2	LIB119268	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S3_R1_001.fastq.gz	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119268_BushPig_200749002/LIB119268_S3_R2_001.fastq.gz
batch_2	Samples	BPigZim49001t0	LIB119267	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119267_BushPig_200749001/LIB119267_S1_R1_001.fastq.gz	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119267_BushPig_200749001/LIB119267_S1_R2_001.fastq.gz
batch_2	Samples	BPigZim49001t1	LIB119267	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119267_BushPig_200749001/LIB119267_S1_R1_001.fastq.gz	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119267_BushPig_200749001/LIB119267_S1_R2_001.fastq.gz
batch_2	Samples	BPigZim49001t2	LIB119267	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119267_BushPig_200749001/LIB119267_S1_R1_001.fastq.gz	/maps/projects/seqafrica/scratch/rawfastq/erda/BushPig/LIB119267_BushPig_200749001/LIB119267_S1_R2_001.fastq.gz
batch_2	Samples	RRivNIG46518	CRX311877	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA005799/CRR363276/CRR363276_1.fq.gz	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA005799/CRR363276/CRR363276_2.fq.gz
batch_2	Samples	RRivNIG46518	CRX311877	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA005799/CRR363277/CRR363277_1.fq.gz	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA005799/CRR363277/CRR363277_2.fq.gz
batch_2	Samples	RRivNIG46518	CRX311877	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA005799/CRR363278/CRR363278_1.fq.gz	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA005799/CRR363278/CRR363278_2.fq.gz
batch_2	Samples	RRivNIG46518	CRX311877	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA005799/CRR363279/CRR363279_1.fq.gz	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA005799/CRR363279/CRR363279_2.fq.gz
batch_2	Samples	RRivNIG46529	CRX101340	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA002456/CRR125443/CRR125443_1.fq.gz	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA002456/CRR125443/CRR125443_2.fq.gz
batch_2	Samples	RRivNIG46529	CRX101340	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA002456/CRR125444/CRR125444_1.fq.gz	/maps/projects/seqafrica/scratch/rawfastq/download.cncb.ac.cn/gsa3/CRA002456/CRR125444/CRR125444_2.fq.gz
